Game Name,Away Team,Home Team,Cutoff Time,Away Odds,Home Odds
SAC Kings v LA Lakers,LA Lakers,SAC Kings,2024-12-21T23:10:00Z,175,-198
ORL Magic v MIA Heat,MIA Heat,ORL Magic,2024-12-22T00:10:00Z,124,-139
ATL Hawks v MEM Grizzlies,MEM Grizzlies,ATL Hawks,2024-12-22T00:40:00Z,-112,100
BKN Nets v UTA Jazz,UTA Jazz,BKN Nets,2024-12-22T00:40:00Z,113,-126
CHI Bulls v BOS Celtics,BOS Celtics,CHI Bulls,2024-12-22T01:10:00Z,-719,536
CLE Cavaliers v PHI 76ers,PHI 76ers,CLE Cavaliers,2024-12-22T01:10:00Z,432,-552
MIL Bucks v WAS Wizards,WAS Wizards,MIL Bucks,2024-12-22T01:10:00Z,478,-625
MIN Timberwolves v GS Warriors,GS Warriors,MIN Timberwolves,2024-12-22T01:10:00Z,135,-152
NO Pelicans v NY Knicks,NY Knicks,NO Pelicans,2024-12-22T01:10:00Z,-304,258
DAL Mavericks v LA Clippers,LA Clippers,DAL Mavericks,2024-12-22T01:40:00Z,143,-161
SA Spurs v POR Trail Blazers,POR Trail Blazers,SA Spurs,2024-12-22T01:40:00Z,227,-265
PHX Suns v DET Pistons,DET Pistons,PHX Suns,2024-12-22T02:10:00Z,206,-238
NY Knicks v SA Spurs,SA Spurs,NY Knicks,2024-12-25T17:00:00Z,283,-416
DAL Mavericks v MIN Timberwolves,MIN Timberwolves,DAL Mavericks,2024-12-25T19:30:00Z,129,-172
BOS Celtics v PHI 76ers,PHI 76ers,BOS Celtics,2024-12-25T22:00:00Z,284,-416
GS Warriors v LA Lakers,LA Lakers,GS Warriors,2024-12-26T01:00:00Z,150,-204
